PropTypeDescription,Acreage,SpecificPropTypeDescription,NbhdCode2,Land Value,Total Value,TotGLA,Tot Bsmt,EffYearBuilt_Weighted,Quality_Weighted,Main_StyleDesc,FullBaths_Total,HalfBaths_Total,BsmtFinishPct_Weighted,Laundry_Count,KitchenCount,CarportArea,CarportCapacity,GarageArea,GarageCapacity,Count_DetGarage,SqFt_DetGarage,Count_ DetCarport,SqFt_DetCarport,Count_Barn,Sqft_Barn,Count_Guest_House,SqFt_Guest_House,Count_Pools,SqFt_Pools,Count_Recreational_Courts,SqFt_Recreational_Courts,Count_Shed,SqFt_Shed,Count_Gazebo_Pavilion,SqFt_Gazebo_Pavilion,Sold Price,Sold Date,Concessions Amount,segment,Age,Adj_Price,ln_Price,ln_GLA,Time_1,Time_2,Time_3,Trended_Price
Twin Home,0.12,Twin Homes (Bldgâ€™s use 11 or 12 Tâ€™s),C," $40,000.00 "," $294,096.00 ",1290.0,0.0,2013.0,3.5,End: One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,,,,,,,,,,,,,,,,,324400.0,2025-01-28,0.0,Residential,21.0,324400.0,12.689732601223396,7.162397497355718,28.055190538764784,0.328515111695138,8.442838370565045,323019.42083236825
Twin Home,0.12,Twin Homes (Bldgâ€™s use 11 or 12 Tâ€™s),C," $40,000.00 "," $294,096.00 ",1290.0,0.0,2013.0,3.5,End: One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,,,,,,,,,,,,,,,,,324400.0,2025-01-28,0.0,Land Sales,21.0,324400.0,12.689732601223396,7.162397497355718,28.055190538764784,0.328515111695138,8.442838370565045,327399.84682546963
Twin Home,0.13,Twin Homes (Bldgâ€™s use 11 or 12 Tâ€™s),C," $40,000.00 "," $294,096.00 ",1290.0,0.0,2013.0,3.5,End: One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,,,,,,,,,,,,,,,,,295000.0,2022-04-20,0.0,Residential,21.0,295000.0,12.594730635321957,7.162397497355718,3.515111695137976,0.0,0.0,297464.89726166497
Twin Home,0.13,Twin Homes (Bldgâ€™s use 11 or 12 Tâ€™s),C," $40,000.00 "," $294,096.00 ",1290.0,0.0,2013.0,3.5,End: One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,,,,,,,,,,,,,,,,,295000.0,2022-04-20,0.0,Land Sales,21.0,295000.0,12.594730635321957,7.162397497355718,3.515111695137976,0.0,0.0,309434.1019746109
Twin Home,0.13,Twin Homes (Bldgâ€™s use 11 or 12 Tâ€™s),C," $40,000.00 "," $312,058.00 ",1290.0,0.0,2013.0,3.5,End: One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,,,,,,,,,,,,,,,,,344500.0,2024-08-30,0.0,Residential,21.0,344500.0,12.74984936943585,7.162397497355718,28.055190538764784,0.328515111695138,3.4822601839684624,342378.97876117466
Twin Home,0.13,Twin Homes (Bldgâ€™s use 11 or 12 Tâ€™s),C," $40,000.00 "," $312,058.00 ",1290.0,0.0,2013.0,3.5,End: One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,,,,,,,,,,,,,,,,,344500.0,2024-08-30,0.0,Land Sales,21.0,344500.0,12.74984936943585,7.162397497355718,28.055190538764784,0.328515111695138,3.4822601839684624,349122.6889757585
Twin Home,0.15,Twin Homes (Bldgâ€™s use 11 or 12 Tâ€™s),C," $40,000.00 "," $294,096.00 ",1290.0,0.0,2013.0,3.5,End: One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,,,,,,,,,,,,,,,,,315000.0,2024-07-08,0.0,Residential,21.0,315000.0,12.66032791780777,7.162397497355718,28.055190538764784,0.328515111695138,1.7411300919842312,312850.69377081085
Twin Home,0.15,Twin Homes (Bldgâ€™s use 11 or 12 Tâ€™s),C," $40,000.00 "," $294,096.00 ",1290.0,0.0,2013.0,3.5,End: One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,,,,,,,,,,,,,,,,,315000.0,2024-07-08,0.0,Land Sales,21.0,315000.0,12.66032791780777,7.162397497355718,28.055190538764784,0.328515111695138,1.7411300919842312,319689.30557907064
Twin Home,0.13,Twin Homes (Bldgâ€™s use 11 or 12 Tâ€™s),C," $40,000.00 "," $294,096.00 ",1290.0,0.0,2013.0,3.5,End: One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,,,,,,,,,,,,,,,,,359900.0,2022-06-14,0.0,Residential,21.0,359900.0,12.793581494067123,7.162397497355718,5.321944809461235,0.0,0.0,364587.06080846715
Twin Home,0.13,Twin Homes (Bldgâ€™s use 11 or 12 Tâ€™s),C," $40,000.00 "," $294,096.00 ",1290.0,0.0,2013.0,3.5,End: One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,,,,,,,,,,,,,,,,,359900.0,2022-06-14,0.0,Land Sales,21.0,359900.0,12.793581494067123,7.162397497355718,5.321944809461235,0.0,0.0,379191.8483025102
Twin Home,0.12,Twin Homes (Bldgâ€™s use 11 or 12 Tâ€™s),C," $40,000.00 "," $294,096.00 ",1290.0,0.0,2013.0,3.5,End: One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,,,,,,,,,,,,,,,,,317500.0,2024-04-19,0.0,Residential,21.0,317500.0,12.668233097314884,7.162397497355718,27.496714848883048,0.0,0.0,340391.345373313
